회사명,거래소코드,회계년도,판매비와관리비(영업비용)(*)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원)
(주)SIMPAC,009160,1988/12,2169649,
(주)SIMPAC,009160,1989/12,2421469,
(주)SIMPAC,009160,1990/12,3067839,
(주)SIMPAC,009160,1991/12,4303254,
(주)SIMPAC,009160,1992/12,5517256,
(주)SIMPAC,009160,1993/12,4492099,
(주)SIMPAC,009160,1994/12,4841869,
(주)SIMPAC,009160,1995/12,5310771,
(주)SIMPAC,009160,1996/12,6382279,
(주)SIMPAC,009160,1997/12,5723774,
(주)SIMPAC,009160,1998/12,3282673,
(주)SIMPAC,009160,1999/12,5069243,
(주)SIMPAC,009160,2000/12,6356966,
(주)SIMPAC,009160,2001/12,5726717,
(주)SIMPAC,009160,2002/12,6176695,
(주)SIMPAC,009160,2003/12,6841344,
(주)SIMPAC,009160,2004/12,7139518,
(주)SIMPAC,009160,2005/12,8747074,
(주)SIMPAC,009160,2006/12,10093072,
(주)SIMPAC,009160,2007/12,11390689,11390689
(주)SIMPAC,009160,2008/12,15619080,15619080
(주)SIMPAC,009160,2009/12,13942198,13942198
(주)SIMPAC,009160,2010/12,14050219,13918270
(주)SIMPAC,009160,2011/12,15256714,15256714
(주)SIMPAC,009160,2012/12,16442981,16442981
(주)SIMPAC,009160,2013/12,16910891,16910891
(주)SIMPAC,009160,2014/12,20405682,20405682
(주)SIMPAC,009160,2015/12,18179952,18179952
(주)SIMPAC,009160,2016/12,18461676,18461676
(주)SIMPAC,009160,2017/12,20694784,20694784
(주)SIMPAC,009160,2018/12,18072612,18072612
(주)SIMPAC,009160,2019/12,26405466,26405466
(주)SIMPAC,009160,2020/12,20822065,20822065
(주)SNT에너지,100840,2008/12,14560392,14560392
(주)SNT에너지,100840,2009/12,14861867,14861867
(주)SNT에너지,100840,2010/12,16903726,16790376
(주)SNT에너지,100840,2011/12,20812087,20812087
(주)SNT에너지,100840,2012/12,23735608,23735608
(주)SNT에너지,100840,2013/12,22138474,22138474
(주)SNT에너지,100840,2014/12,25357817,25357817
(주)SNT에너지,100840,2015/12,23870714,23870714
(주)SNT에너지,100840,2016/12,47914443,47914443
(주)SNT에너지,100840,2017/12,18839719,18839719
(주)SNT에너지,100840,2018/12,22658363,22658363
(주)SNT에너지,100840,2019/12,17851276,17851276
(주)SNT에너지,100840,2020/12,16313529,16313529
(주)SNT홀딩스,036530,1997/12,1864990,
(주)SNT홀딩스,036530,1998/12,3034117,
(주)SNT홀딩스,036530,1999/12,3464732,
(주)SNT홀딩스,036530,2000/12,5890538,
(주)SNT홀딩스,036530,2001/12,6664889,
(주)SNT홀딩스,036530,2002/12,5820156,
(주)SNT홀딩스,036530,2003/12,6545082,
(주)SNT홀딩스,036530,2004/12,7556027,
(주)SNT홀딩스,036530,2005/12,7705503,
(주)SNT홀딩스,036530,2006/12,9658568,
(주)SNT홀딩스,036530,2007/12,12881213,12881213
(주)SNT홀딩스,036530,2008/12,2148252,2148252
(주)SNT홀딩스,036530,2009/12,1379830,1379830
(주)SNT홀딩스,036530,2010/12,1929023,1884871
(주)SNT홀딩스,036530,2011/12,1611687,1611687
(주)SNT홀딩스,036530,2012/12,2022710,2022710
(주)SNT홀딩스,036530,2013/12,1903453,1903453
(주)SNT홀딩스,036530,2014/12,1735761,1735761
(주)SNT홀딩스,036530,2015/12,1755565,1755565
(주)SNT홀딩스,036530,2016/12,1818263,1818263
(주)SNT홀딩스,036530,2017/12,2015960,2015960
(주)SNT홀딩스,036530,2018/12,1900080,1900080
(주)SNT홀딩스,036530,2019/12,2024424,2024424
(주)SNT홀딩스,036530,2020/12,2336659,2336659
(주)STX,011810,1985/12,2932423,
(주)STX,011810,1986/12,5136858,
(주)STX,011810,1987/12,7396922,
(주)STX,011810,1988/12,8661735,
(주)STX,011810,1989/12,7226925,
(주)STX,011810,1990/12,8192767,
(주)STX,011810,1991/12,10326387,
(주)STX,011810,1992/12,11281002,
(주)STX,011810,1993/12,10772004,
(주)STX,011810,1994/12,15846920,
(주)STX,011810,1995/12,16644779,
(주)STX,011810,1996/12,19235735,
(주)STX,011810,1997/12,21163639,
(주)STX,011810,1998/12,15789554,
(주)STX,011810,1999/12,16319183,
(주)STX,011810,2000/12,14780561,
(주)STX,011810,2001/12,17995165,
(주)STX,011810,2002/12,17884897,
(주)STX,011810,2003/12,21271325,
(주)STX,011810,2004/12,11980527,
(주)STX,011810,2005/12,24725920,
(주)STX,011810,2006/12,41875765,
(주)STX,011810,2007/12,80688245,80688245
(주)STX,011810,2008/12,87676937,87676937
(주)STX,011810,2009/12,97446859,97446859
(주)STX,011810,2010/12,135075769,134694000
(주)STX,011810,2011/12,122698000,122698000
(주)STX,011810,2012/12,101399000,101399000
(주)STX,011810,2013/12,148125000,148125000
(주)STX,011810,2014/12,34557000,34557000
(주)STX,011810,2015/12,26282000,26282000
(주)STX,011810,2016/12,77154000,77154000
(주)STX,011810,2017/12,23434000,23434000
(주)STX,011810,2018/12,17055000,17055000
(주)STX,011810,2019/12,26114000,26114000
(주)STX,011810,2020/12,21325000,21325000
(주)TCC스틸,002710,1985/03,2766846,
(주)TCC스틸,002710,1986/03,3044787,
(주)TCC스틸,002710,1987/03,3676141,
(주)TCC스틸,002710,1988/03,4411886,
(주)TCC스틸,002710,1989/03,4610612,
(주)TCC스틸,002710,1990/12,6711485,
(주)TCC스틸,002710,1991/12,6796708,
(주)TCC스틸,002710,1992/12,6999062,
(주)TCC스틸,002710,1993/12,8046892,
(주)TCC스틸,002710,1994/12,9603532,
(주)TCC스틸,002710,1995/12,9942695,
(주)TCC스틸,002710,1996/12,10518392,
(주)TCC스틸,002710,1997/12,10743822,
(주)TCC스틸,002710,1998/12,14137129,
(주)TCC스틸,002710,1999/12,13459224,
(주)TCC스틸,002710,2000/12,13699196,
(주)TCC스틸,002710,2001/12,17325542,
(주)TCC스틸,002710,2002/12,16463700,
(주)TCC스틸,002710,2003/12,17960361,
(주)TCC스틸,002710,2004/12,20979639,
(주)TCC스틸,002710,2005/12,20768176,
(주)TCC스틸,002710,2006/12,19548203,
(주)TCC스틸,002710,2007/12,19731572,19731572
(주)TCC스틸,002710,2008/12,27664276,27664276
(주)TCC스틸,002710,2009/12,25282197,25282197
(주)TCC스틸,002710,2010/12,26866466,25780944
(주)TCC스틸,002710,2011/12,25079936,25079936
(주)TCC스틸,002710,2012/12,29554032,29554032
(주)TCC스틸,002710,2013/12,25792395,25792395
(주)TCC스틸,002710,2014/12,25470505,25470505
(주)TCC스틸,002710,2015/12,23812910,23812910
(주)TCC스틸,002710,2016/12,22384689,22384689
(주)TCC스틸,002710,2017/12,22532022,22532022
(주)TCC스틸,002710,2018/12,14196981,14196981
(주)TCC스틸,002710,2019/12,14356868,14356868
(주)TCC스틸,002710,2020/12,14487393,14487393
(주)강원랜드,035250,2000/12,25856015,
(주)강원랜드,035250,2001/12,58309894,
(주)강원랜드,035250,2002/12,60750257,
(주)강원랜드,035250,2003/12,82601095,
(주)강원랜드,035250,2004/12,71690655,
(주)강원랜드,035250,2005/12,83101438,
(주)강원랜드,035250,2006/12,142192168,
(주)강원랜드,035250,2007/12,180413595,180413595
(주)강원랜드,035250,2008/12,202538328,202538328
(주)강원랜드,035250,2009/12,227128915,227128915
(주)강원랜드,035250,2010/12,248363776,248683360
(주)강원랜드,035250,2011/12,232036737,232036737
(주)강원랜드,035250,2012/12,237009158,237009158
(주)강원랜드,035250,2013/12,240055756,240055756
(주)강원랜드,035250,2014/12,252649920,252649920
(주)강원랜드,035250,2015/12,272340184,272340184
(주)강원랜드,035250,2016/12,287586131,287586131
(주)강원랜드,035250,2017/12,281945764,281945764
(주)강원랜드,035250,2018/12,274005028,274005028
(주)강원랜드,035250,2019/12,280523986,280523986
(주)강원랜드,035250,2020/12,363985953,363985953
(주)갤럭시아에스엠,011420,1985/12,935337,
(주)갤럭시아에스엠,011420,1986/12,1236633,
(주)갤럭시아에스엠,011420,1987/12,1674051,
(주)갤럭시아에스엠,011420,1988/12,1725542,
(주)갤럭시아에스엠,011420,1989/12,1885126,
(주)갤럭시아에스엠,011420,1990/12,2325552,
(주)갤럭시아에스엠,011420,1991/12,2781401,
(주)갤럭시아에스엠,011420,1992/12,3170867,
(주)갤럭시아에스엠,011420,1993/12,3458644,
(주)갤럭시아에스엠,011420,1994/12,4114940,
(주)갤럭시아에스엠,011420,1995/12,4285462,
(주)갤럭시아에스엠,011420,1996/12,5625366,
(주)갤럭시아에스엠,011420,1997/12,4009932,
(주)갤럭시아에스엠,011420,1998/12,4969498,
(주)갤럭시아에스엠,011420,1999/12,4205667,
(주)갤럭시아에스엠,011420,2000/12,5009004,
(주)갤럭시아에스엠,011420,2001/12,4171529,
(주)갤럭시아에스엠,011420,2002/12,4855870,
(주)갤럭시아에스엠,011420,2003/12,5635558,
(주)갤럭시아에스엠,011420,2004/12,4517567,
(주)갤럭시아에스엠,011420,2005/12,3126333,
(주)갤럭시아에스엠,011420,2006/12,3695338,
(주)갤럭시아에스엠,011420,2007/12,3354944,3354944
(주)갤럭시아에스엠,011420,2008/12,4673327,4673327
(주)갤럭시아에스엠,011420,2009/12,3356796,3356796
(주)갤럭시아에스엠,011420,2010/12,3308693,3308693
(주)갤럭시아에스엠,011420,2011/12,2774063,2774063
(주)갤럭시아에스엠,011420,2012/12,2053448,2053448
(주)갤럭시아에스엠,011420,2013/12,2049336,2049336
(주)갤럭시아에스엠,011420,2014/12,2256158,2256158
(주)갤럭시아에스엠,011420,2015/12,2746300,2746300
(주)갤럭시아에스엠,011420,2016/12,3611285,3611285
(주)갤럭시아에스엠,011420,2017/12,3179800,3179800
(주)갤럭시아에스엠,011420,2018/12,4605442,4605442
(주)갤럭시아에스엠,011420,2019/12,2571538,2571538
(주)갤럭시아에스엠,011420,2020/12,1498577,1498577
(주)경농,002100,1981/12,2059896,
(주)경농,002100,1982/12,2284303,
(주)경농,002100,1983/12,2218568,
(주)경농,002100,1984/12,3094768,
(주)경농,002100,1985/12,3187993,
(주)경농,002100,1986/12,3496633,
(주)경농,002100,1987/12,3581995,
(주)경농,002100,1988/12,4141157,
(주)경농,002100,1989/12,5643650,
(주)경농,002100,1990/12,6447107,
(주)경농,002100,1991/12,8123968,
(주)경농,002100,1992/12,11394499,
(주)경농,002100,1993/12,15387976,
(주)경농,002100,1994/12,16929883,
(주)경농,002100,1995/12,22213035,
(주)경농,002100,1996/12,22911376,
(주)경농,002100,1997/12,22353761,
(주)경농,002100,1998/12,31604736,
(주)경농,002100,1999/12,17165532,
(주)경농,002100,2000/12,19044558,
(주)경농,002100,2001/12,17857606,
(주)경농,002100,2002/12,22152323,
(주)경농,002100,2003/12,20398226,
(주)경농,002100,2004/12,21545448,
(주)경농,002100,2005/12,25493184,
(주)경농,002100,2006/12,27546955,
(주)경농,002100,2007/12,31363810,31363810
(주)경농,002100,2008/12,33260515,33260515
(주)경농,002100,2009/12,37885479,37885479
(주)경농,002100,2010/12,35817237,36190166
(주)경농,002100,2011/12,34017164,34017164
(주)경농,002100,2012/12,33941584,33941584
(주)경농,002100,2013/12,37284742,37284742
(주)경농,002100,2014/12,39622262,39622262
(주)경농,002100,2015/12,44084513,44084513
(주)경농,002100,2016/12,45606489,45606489
(주)경농,002100,2017/12,43121579,43121579
(주)경농,002100,2018/12,39627710,39627710
(주)경농,002100,2019/12,44960436,44960436
(주)경농,002100,2020/12,46262714,46262714
(주)경동나비엔,009450,1986/12,953843,
(주)경동나비엔,009450,1987/12,1086178,
(주)경동나비엔,009450,1988/12,2167135,
(주)경동나비엔,009450,1989/12,4265141,
(주)경동나비엔,009450,1990/12,6409090,
(주)경동나비엔,009450,1991/12,7156752,
(주)경동나비엔,009450,1992/12,9584531,
(주)경동나비엔,009450,1993/12,10615010,
(주)경동나비엔,009450,1994/12,12628205,
(주)경동나비엔,009450,1995/12,17752947,
(주)경동나비엔,009450,1996/12,20999153,
(주)경동나비엔,009450,1997/12,25402984,
(주)경동나비엔,009450,1998/12,20302174,
(주)경동나비엔,009450,1999/12,26347687,
(주)경동나비엔,009450,2000/12,25299996,
(주)경동나비엔,009450,2001/12,27391019,
(주)경동나비엔,009450,2002/12,29004556,
(주)경동나비엔,009450,2003/12,31395579,
(주)경동나비엔,009450,2004/12,27912583,
(주)경동나비엔,009450,2005/12,29414016,
(주)경동나비엔,009450,2006/12,32438701,
(주)경동나비엔,009450,2007/12,36372757,36372757
(주)경동나비엔,009450,2008/12,43543561,43543561
(주)경동나비엔,009450,2009/12,45495648,45495648
(주)경동나비엔,009450,2010/12,56244929,55792194
(주)경동나비엔,009450,2011/12,60786214,60786214
(주)경동나비엔,009450,2012/12,61602924,61602924
(주)경동나비엔,009450,2013/12,72644249,72644249
(주)경동나비엔,009450,2014/12,72874100,72874100
(주)경동나비엔,009450,2015/12,92672044,92672044
(주)경동나비엔,009450,2016/12,100453303,100453303
(주)경동나비엔,009450,2017/12,114583201,114583201
(주)경동나비엔,009450,2018/12,122339017,122339017
(주)경동나비엔,009450,2019/12,137056391,137056391
(주)경동나비엔,009450,2020/12,170451205,170451205
(주)경동도시가스,267290,2017/12,55682161,55682161
(주)경동도시가스,267290,2018/12,82145199,82145199
(주)경동도시가스,267290,2019/12,83393461,83393461
(주)경동도시가스,267290,2020/12,83965284,83965284
(주)경동인베스트,012320,1984/12,2083948,
(주)경동인베스트,012320,1985/12,2416406,
(주)경동인베스트,012320,1986/12,2393623,
(주)경동인베스트,012320,1987/12,2212366,
(주)경동인베스트,012320,1988/12,2562539,
(주)경동인베스트,012320,1989/12,2942378,
(주)경동인베스트,012320,1990/12,3110676,
(주)경동인베스트,012320,1991/12,3138262,
(주)경동인베스트,012320,1992/12,2909737,
(주)경동인베스트,012320,1993/12,3153750,
(주)경동인베스트,012320,1994/12,3672623,
(주)경동인베스트,012320,1995/12,5307839,
(주)경동인베스트,012320,1996/12,8868617,
(주)경동인베스트,012320,1997/12,13324755,
(주)경동인베스트,012320,1998/12,16791992,
(주)경동인베스트,012320,1999/12,23358580,
(주)경동인베스트,012320,2000/12,30377066,
(주)경동인베스트,012320,2001/12,34106684,
(주)경동인베스트,012320,2002/12,37786693,
(주)경동인베스트,012320,2003/12,40908934,
(주)경동인베스트,012320,2004/12,44891487,
