회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)SIMPAC,009160,1989/12,27867025,
(주)SIMPAC,009160,1990/12,35614889,
(주)SIMPAC,009160,1991/12,43080973,
(주)SIMPAC,009160,1992/12,39004259,
(주)SIMPAC,009160,1993/12,40175781,
(주)SIMPAC,009160,1994/12,52017992,
(주)SIMPAC,009160,1995/12,56834856,
(주)SIMPAC,009160,1996/12,74906854,
(주)SIMPAC,009160,1997/12,76543673,
(주)SIMPAC,009160,1998/12,23831425,
(주)SIMPAC,009160,1999/12,36012578,
(주)SIMPAC,009160,2000/12,63886619,
(주)SIMPAC,009160,2001/12,43890705,
(주)SIMPAC,009160,2002/12,53229818,
(주)SIMPAC,009160,2003/12,77407065,
(주)SIMPAC,009160,2004/12,83636243,
(주)SIMPAC,009160,2005/12,89810087,
(주)SIMPAC,009160,2006/12,107092299,
(주)SIMPAC,009160,2007/12,110683524,110683524
(주)SIMPAC,009160,2008/12,131802333,131802333
(주)SIMPAC,009160,2009/12,122548677,122548677
(주)SIMPAC,009160,2010/12,180593108,180593108
(주)SIMPAC,009160,2011/12,213867522,213867522
(주)SIMPAC,009160,2012/12,223854758,223854758
(주)SIMPAC,009160,2013/12,204527751,204527751
(주)SIMPAC,009160,2014/12,227491803,227491803
(주)SIMPAC,009160,2015/12,213152303,213152303
(주)SIMPAC,009160,2016/12,215839356,215839356
(주)SIMPAC,009160,2017/12,203150228,203150228
(주)SIMPAC,009160,2018/12,268863854,268863854
(주)SIMPAC,009160,2019/12,391970769,391970769
(주)SIMPAC,009160,2020/12,272087150,272087150
(주)SNT에너지,100840,2008/12,200451563,200451563
(주)SNT에너지,100840,2009/12,182779061,182779061
(주)SNT에너지,100840,2010/12,213830405,213919312
(주)SNT에너지,100840,2011/12,195318747,195318747
(주)SNT에너지,100840,2012/12,230707564,230707564
(주)SNT에너지,100840,2013/12,200750984,200750984
(주)SNT에너지,100840,2014/12,242746888,242746888
(주)SNT에너지,100840,2015/12,260094045,260094045
(주)SNT에너지,100840,2016/12,254089906,254089906
(주)SNT에너지,100840,2017/12,184091945,184091945
(주)SNT에너지,100840,2018/12,139516396,139516396
(주)SNT에너지,100840,2019/12,202822913,202822913
(주)SNT에너지,100840,2020/12,229991237,229991237
(주)SNT홀딩스,036530,1997/12,20215878,
(주)SNT홀딩스,036530,1998/12,22210536,
(주)SNT홀딩스,036530,1999/12,34381726,
(주)SNT홀딩스,036530,2000/12,69339624,
(주)SNT홀딩스,036530,2001/12,97283283,
(주)SNT홀딩스,036530,2002/12,81943584,
(주)SNT홀딩스,036530,2003/12,51032296,
(주)SNT홀딩스,036530,2004/12,64447565,
(주)SNT홀딩스,036530,2005/12,86704809,
(주)SNT홀딩스,036530,2006/12,120486321,
