회사명,거래소코드,회계년도,보통주자본금(천원),보통주자본금(IFRS)(천원)
(주)SIMPAC,009160,1989/12,6000000,
(주)SIMPAC,009160,1990/12,10677600,
(주)SIMPAC,009160,1991/12,15375750,
(주)SIMPAC,009160,1992/12,19219700,
(주)SIMPAC,009160,1993/12,19219700,
(주)SIMPAC,009160,1994/12,19219700,
(주)SIMPAC,009160,1995/12,19752745,
(주)SIMPAC,009160,1996/12,19752745,
(주)SIMPAC,009160,1997/12,19752745,
(주)SIMPAC,009160,1998/12,19752745,
(주)SIMPAC,009160,1999/12,39500000,
(주)SIMPAC,009160,2000/12,39500000,
(주)SIMPAC,009160,2001/12,13000000,
(주)SIMPAC,009160,2002/12,13000000,
(주)SIMPAC,009160,2003/12,13000000,
(주)SIMPAC,009160,2004/12,13000000,
(주)SIMPAC,009160,2005/12,13000000,
(주)SIMPAC,009160,2006/12,13000000,
(주)SIMPAC,009160,2007/12,13780500,13780500
(주)SIMPAC,009160,2008/12,13780500,13780500
(주)SIMPAC,009160,2009/12,13780500,13780500
(주)SIMPAC,009160,2010/12,14542463,14542463
(주)SIMPAC,009160,2011/12,14542463,14542463
(주)SIMPAC,009160,2012/12,14542462,14542462
(주)SIMPAC,009160,2013/12,14542463,14542463
(주)SIMPAC,009160,2014/12,14542463,14542463
(주)SIMPAC,009160,2015/12,14542463,14542463
(주)SIMPAC,009160,2016/12,14542463,14542463
(주)SIMPAC,009160,2017/12,14542463,14542463
(주)SIMPAC,009160,2018/12,32714758,32714758
(주)SIMPAC,009160,2019/12,32714758,32714758
(주)SIMPAC,009160,2020/12,32714758,32714758
(주)SNT에너지,100840,2008/12,3542306,3542306
(주)SNT에너지,100840,2009/12,3542306,3542306
(주)SNT에너지,100840,2010/12,3542306,3542306
(주)SNT에너지,100840,2011/12,3542306,3542306
(주)SNT에너지,100840,2012/12,3542306,3542306
(주)SNT에너지,100840,2013/12,3542306,3542306
(주)SNT에너지,100840,2014/12,3542306,3542306
(주)SNT에너지,100840,2015/12,3542306,3542306
(주)SNT에너지,100840,2016/12,3542306,3542306
(주)SNT에너지,100840,2017/12,3542306,3542306
(주)SNT에너지,100840,2018/12,3648575,3648575
(주)SNT에너지,100840,2019/12,3753356,3753356
(주)SNT에너지,100840,2020/12,3753356,3753356
(주)SNT홀딩스,036530,1997/12,1000000,
(주)SNT홀딩스,036530,1998/12,2000000,
(주)SNT홀딩스,036530,1999/12,3000000,
(주)SNT홀딩스,036530,2000/12,3750000,
(주)SNT홀딩스,036530,2001/12,3750000,
(주)SNT홀딩스,036530,2002/12,3750000,
(주)SNT홀딩스,036530,2003/12,3750000,
(주)SNT홀딩스,036530,2004/12,3750000,
(주)SNT홀딩스,036530,2005/12,3750000,
(주)SNT홀딩스,036530,2006/12,3750000,
(주)SNT홀딩스,036530,2007/12,5650000,5650000
(주)SNT홀딩스,036530,2008/12,7661712,7661712
(주)SNT홀딩스,036530,2009/12,7661712,7661712
(주)SNT홀딩스,036530,2010/12,7661712,7661712
(주)SNT홀딩스,036530,2011/12,7661712,7661712
(주)SNT홀딩스,036530,2012/12,7661712,7661712
(주)SNT홀딩스,036530,2013/12,7661712,7661712
(주)SNT홀딩스,036530,2014/12,7661712,7661712
(주)SNT홀딩스,036530,2015/12,7885038,7885038
(주)SNT홀딩스,036530,2016/12,8115053,8115053
(주)SNT홀딩스,036530,2017/12,8115053,8115053
(주)SNT홀딩스,036530,2018/12,8351943,8351943
(주)SNT홀딩스,036530,2019/12,8351943,8351943
(주)SNT홀딩스,036530,2020/12,8351943,8351943
(주)STX,011810,1985/12,18625000,
(주)STX,011810,1986/12,22625000,
(주)STX,011810,1987/12,22625000,
(주)STX,011810,1988/12,22625000,
(주)STX,011810,1989/12,25350000,
(주)STX,011810,1990/12,36350000,
(주)STX,011810,1991/12,36350000,
(주)STX,011810,1992/12,36350000,
(주)STX,011810,1993/12,52290525,
(주)STX,011810,1994/12,59360675,
(주)STX,011810,1995/12,59383195,
(주)STX,011810,1996/12,59383195,
(주)STX,011810,1997/12,59383195,
(주)STX,011810,1998/12,59383195,
(주)STX,011810,1999/12,98195315,
(주)STX,011810,2000/12,98195315,
(주)STX,011810,2001/12,98195315,
(주)STX,011810,2002/12,98195315,
(주)STX,011810,2003/12,106195315,
(주)STX,011810,2004/12,57345470,
(주)STX,011810,2005/12,68815385,
(주)STX,011810,2006/12,70395788,
(주)STX,011810,2007/12,86375433,86375433
(주)STX,011810,2008/12,99853495,99853495
(주)STX,011810,2009/12,124853495,124853495
(주)STX,011810,2010/12,124853495,124853000
(주)STX,011810,2011/12,149853000,149853000
(주)STX,011810,2012/12,150981000,150981000
(주)STX,011810,2013/12,153691000,153691000
(주)STX,011810,2014/12,74613000,74613000
(주)STX,011810,2015/12,74699000,74699000
(주)STX,011810,2016/12,118330000,118330000
(주)STX,011810,2017/12,47834000,47834000
(주)STX,011810,2018/12,49317000,49317000
(주)STX,011810,2019/12,49317000,49317000
(주)STX,011810,2020/12,49317000,49317000
(주)TCC스틸,002710,1985/03,7000000,
(주)TCC스틸,002710,1986/03,7000000,
(주)TCC스틸,002710,1987/03,7000000,
(주)TCC스틸,002710,1988/03,7000000,
(주)TCC스틸,002710,1989/03,7000000,
(주)TCC스틸,002710,1990/12,7700000,
(주)TCC스틸,002710,1991/12,7700000,
(주)TCC스틸,002710,1992/12,9500000,
(주)TCC스틸,002710,1993/12,9500000,
(주)TCC스틸,002710,1994/12,11000000,
(주)TCC스틸,002710,1995/12,11455780,
(주)TCC스틸,002710,1996/12,11455780,
(주)TCC스틸,002710,1997/12,11702760,
(주)TCC스틸,002710,1998/12,12000000,
(주)TCC스틸,002710,1999/12,12000000,
(주)TCC스틸,002710,2000/12,12000000,
(주)TCC스틸,002710,2001/12,12000000,
(주)TCC스틸,002710,2002/12,12000000,
(주)TCC스틸,002710,2003/12,12000000,
(주)TCC스틸,002710,2004/12,12000000,
(주)TCC스틸,002710,2005/12,12000000,
(주)TCC스틸,002710,2006/12,12500000,
(주)TCC스틸,002710,2007/12,13000000,13000000
(주)TCC스틸,002710,2008/12,13500000,13500000
(주)TCC스틸,002710,2009/12,14500000,14500000
(주)TCC스틸,002710,2010/12,15000000,15000000
(주)TCC스틸,002710,2011/12,16000000,16000000
(주)TCC스틸,002710,2012/12,17000000,17000000
(주)TCC스틸,002710,2013/12,18000000,18000000
(주)TCC스틸,002710,2014/12,19000000,19000000
(주)TCC스틸,002710,2015/12,22342500,22342500
(주)TCC스틸,002710,2016/12,22342500,22342500
(주)TCC스틸,002710,2017/12,22342500,22342500
(주)TCC스틸,002710,2018/12,22342500,22342500
(주)TCC스틸,002710,2019/12,22342500,22342500
(주)TCC스틸,002710,2020/12,23000000,23000000
(주)강원랜드,035250,2000/12,100000000,
(주)강원랜드,035250,2001/12,100000000,
(주)강원랜드,035250,2002/12,100000000,
(주)강원랜드,035250,2003/12,100000000,
(주)강원랜드,035250,2004/12,106970250,
(주)강원랜드,035250,2005/12,106970250,
(주)강원랜드,035250,2006/12,106970250,
(주)강원랜드,035250,2007/12,106970250,106970250
(주)강원랜드,035250,2008/12,106970250,106970250
(주)강원랜드,035250,2009/12,106970250,106970250
(주)강원랜드,035250,2010/12,106970250,106970250
(주)강원랜드,035250,2011/12,106970250,106970250
(주)강원랜드,035250,2012/12,106970250,106970250
(주)강원랜드,035250,2013/12,106970250,106970250
(주)강원랜드,035250,2014/12,106970250,106970250
(주)강원랜드,035250,2015/12,106970250,106970250
(주)강원랜드,035250,2016/12,106970250,106970250
(주)강원랜드,035250,2017/12,106970250,106970250
(주)강원랜드,035250,2018/12,106970250,106970250
(주)강원랜드,035250,2019/12,106970250,106970250
(주)강원랜드,035250,2020/12,106970250,106970250
(주)갤럭시아에스엠,011420,1985/12,600000,
(주)갤럭시아에스엠,011420,1986/12,600000,
(주)갤럭시아에스엠,011420,1987/12,600000,
(주)갤럭시아에스엠,011420,1988/12,600000,
(주)갤럭시아에스엠,011420,1989/12,4000000,
(주)갤럭시아에스엠,011420,1990/12,6000000,
(주)갤럭시아에스엠,011420,1991/12,8800000,
(주)갤럭시아에스엠,011420,1992/12,9350000,
(주)갤럭시아에스엠,011420,1993/12,9724000,
(주)갤럭시아에스엠,011420,1994/12,13000000,
(주)갤럭시아에스엠,011420,1995/12,13000000,
(주)갤럭시아에스엠,011420,1996/12,13000000,
(주)갤럭시아에스엠,011420,1997/12,13501200,
(주)갤럭시아에스엠,011420,1998/12,13501200,
(주)갤럭시아에스엠,011420,1999/12,13501200,
(주)갤럭시아에스엠,011420,2000/12,13501200,
(주)갤럭시아에스엠,011420,2001/12,13501200,
(주)갤럭시아에스엠,011420,2002/12,13501200,
(주)갤럭시아에스엠,011420,2003/12,13501200,
(주)갤럭시아에스엠,011420,2004/12,20696535,
(주)갤럭시아에스엠,011420,2005/12,20696535,
(주)갤럭시아에스엠,011420,2006/12,7861212,
(주)갤럭시아에스엠,011420,2007/12,7961212,7961212
(주)갤럭시아에스엠,011420,2008/12,9811212,9811212
(주)갤럭시아에스엠,011420,2009/12,9811212,9811212
(주)갤럭시아에스엠,011420,2010/12,9811212,9811212
(주)갤럭시아에스엠,011420,2011/12,9811212,9811212
(주)갤럭시아에스엠,011420,2012/12,9811212,9811212
(주)갤럭시아에스엠,011420,2013/12,9811212,9811212
(주)갤럭시아에스엠,011420,2014/12,9811212,9811212
(주)갤럭시아에스엠,011420,2015/12,13774822,13774822
(주)갤럭시아에스엠,011420,2016/12,13774822,13774822
(주)갤럭시아에스엠,011420,2017/12,13774822,13774822
(주)갤럭시아에스엠,011420,2018/12,13774822,13774822
(주)갤럭시아에스엠,011420,2019/12,13774822,13774822
(주)갤럭시아에스엠,011420,2020/12,13774822,13774822
(주)경농,002100,1981/12,1000000,
(주)경농,002100,1982/12,1300000,
(주)경농,002100,1983/12,1650000,
(주)경농,002100,1984/12,2550000,
(주)경농,002100,1985/12,2550000,
(주)경농,002100,1986/12,2550000,
(주)경농,002100,1987/12,2550000,
(주)경농,002100,1988/12,2550000,
(주)경농,002100,1989/12,3200000,
(주)경농,002100,1990/12,3200000,
(주)경농,002100,1991/12,3200000,
(주)경농,002100,1992/12,4000000,
(주)경농,002100,1993/12,5200000,
(주)경농,002100,1994/12,5200000,
(주)경농,002100,1995/12,5670000,
(주)경농,002100,1996/12,5670000,
(주)경농,002100,1997/12,9545085,
(주)경농,002100,1998/12,9545085,
(주)경농,002100,1999/12,9545085,
(주)경농,002100,2000/12,9545085,
(주)경농,002100,2001/12,9980240,
(주)경농,002100,2002/12,10404910,
(주)경농,002100,2003/12,10844195,
(주)경농,002100,2004/12,10844195,
(주)경농,002100,2005/12,10845875,
(주)경농,002100,2006/12,10845875,
(주)경농,002100,2007/12,10845875,10845875
(주)경농,002100,2008/12,10845875,10845875
(주)경농,002100,2009/12,10845875,10845875
(주)경농,002100,2010/12,10845875,10845875
(주)경농,002100,2011/12,10845875,10845875
(주)경농,002100,2012/12,10845875,10845875
(주)경농,002100,2013/12,10845875,10845875
(주)경농,002100,2014/12,10845875,10845875
(주)경농,002100,2015/12,10845875,10845875
(주)경농,002100,2016/12,10845875,10845875
(주)경농,002100,2017/12,10845875,10845875
(주)경농,002100,2018/12,10845875,10845875
(주)경농,002100,2019/12,10845875,10845875
(주)경농,002100,2020/12,10845875,10845875
(주)경동나비엔,009450,1986/12,1900000,
(주)경동나비엔,009450,1987/12,1900000,
(주)경동나비엔,009450,1988/12,1900000,
(주)경동나비엔,009450,1989/12,1900000,
(주)경동나비엔,009450,1990/12,1900000,
(주)경동나비엔,009450,1991/12,3420000,
(주)경동나비엔,009450,1992/12,3420000,
(주)경동나비엔,009450,1993/12,8000000,
(주)경동나비엔,009450,1994/12,9600000,
(주)경동나비엔,009450,1995/12,11520000,
(주)경동나비엔,009450,1996/12,11520000,
(주)경동나비엔,009450,1997/12,11520000,
(주)경동나비엔,009450,1998/12,11520000,
(주)경동나비엔,009450,1999/12,11520000,
(주)경동나비엔,009450,2000/12,11520000,
(주)경동나비엔,009450,2001/12,11520000,
(주)경동나비엔,009450,2002/12,11520000,
(주)경동나비엔,009450,2003/12,11520000,
(주)경동나비엔,009450,2004/12,11520000,
(주)경동나비엔,009450,2005/12,11520000,
(주)경동나비엔,009450,2006/12,11520000,
(주)경동나비엔,009450,2007/12,11520000,11520000
(주)경동나비엔,009450,2008/12,11520000,11520000
(주)경동나비엔,009450,2009/12,11520000,11520000
(주)경동나비엔,009450,2010/12,12739510,12739510
(주)경동나비엔,009450,2011/12,12739510,12739510
(주)경동나비엔,009450,2012/12,12739510,12739510
(주)경동나비엔,009450,2013/12,12739510,12739510
(주)경동나비엔,009450,2014/12,12739510,12739510
(주)경동나비엔,009450,2015/12,12739510,12739510
(주)경동나비엔,009450,2016/12,12739510,12739510
(주)경동나비엔,009450,2017/12,12739510,12739510
(주)경동나비엔,009450,2018/12,12739510,12739510
(주)경동나비엔,009450,2019/12,12739510,12739510
(주)경동나비엔,009450,2020/12,13604730,13604730
(주)경동도시가스,267290,2017/12,11792658,11792658
(주)경동도시가스,267290,2018/12,11792658,11792658
(주)경동도시가스,267290,2019/12,14738515,14738515
(주)경동도시가스,267290,2020/12,14738515,14738515
(주)경동인베스트,012320,1984/12,1580000,
(주)경동인베스트,012320,1985/12,1580000,
(주)경동인베스트,012320,1986/12,2400000,
(주)경동인베스트,012320,1987/12,2400000,
(주)경동인베스트,012320,1988/12,2400000,
(주)경동인베스트,012320,1989/12,2400000,
(주)경동인베스트,012320,1990/12,2400000,
(주)경동인베스트,012320,1991/12,2400000,
(주)경동인베스트,012320,1992/12,2400000,
(주)경동인베스트,012320,1993/12,2700000,
(주)경동인베스트,012320,1994/12,3200000,
(주)경동인베스트,012320,1995/12,7600000,
(주)경동인베스트,012320,1996/12,8400000,
(주)경동인베스트,012320,1997/12,12000000,
(주)경동인베스트,012320,1998/12,12000000,
(주)경동인베스트,012320,1999/12,15840000,
(주)경동인베스트,012320,2000/12,15840000,
(주)경동인베스트,012320,2001/12,15840000,
(주)경동인베스트,012320,2002/12,15840000,
(주)경동인베스트,012320,2003/12,15840000,
(주)경동인베스트,012320,2004/12,15840000,
(주)경동인베스트,012320,2005/12,15840000,
(주)경동인베스트,012320,2006/12,15840000,
(주)경동인베스트,012320,2007/12,15840000,15840000
(주)경동인베스트,012320,2008/12,15840000,15840000
(주)경동인베스트,012320,2009/12,15840000,15840000
(주)경동인베스트,012320,2010/12,15840000,15840000
(주)경동인베스트,012320,2011/12,17424000,17424000
(주)경동인베스트,012320,2012/12,17424000,17424000
(주)경동인베스트,012320,2013/12,17424000,17424000
(주)경동인베스트,012320,2014/12,17424000,17424000
(주)경동인베스트,012320,2015/12,17424000,17424000
(주)경동인베스트,012320,2016/12,17424000,17424000
(주)경동인베스트,012320,2017/12,11825115,11825115
(주)경동인베스트,012320,2018/12,11825115,11825115
(주)경동인베스트,012320,2019/12,11825115,11825115
(주)경동인베스트,012320,2020/12,11825115,11825115
(주)경방,000050,1981/12,2400000,
(주)경방,000050,1982/12,2400000,
(주)경방,000050,1983/12,2400000,
(주)경방,000050,1984/12,4000000,
(주)경방,000050,1985/12,4000000,
(주)경방,000050,1986/12,4000000,
(주)경방,000050,1987/12,4800000,
(주)경방,000050,1988/12,5400000,
(주)경방,000050,1989/12,5400000,
(주)경방,000050,1990/12,5400000,
(주)경방,000050,1991/12,5400000,
(주)경방,000050,1992/12,7700000,
(주)경방,000050,1993/12,7700000,
(주)경방,000050,1994/12,7700000,
(주)경방,000050,1995/12,7700000,
(주)경방,000050,1996/12,7700000,
(주)경방,000050,1997/12,7815500,
(주)경방,000050,1998/12,7971810,
(주)경방,000050,1999/12,7971810,
(주)경방,000050,2000/12,7971810,
(주)경방,000050,2001/12,7971810,
(주)경방,000050,2002/12,10400000,
(주)경방,000050,2003/12,10400000,
(주)경방,000050,2004/12,10400000,
(주)경방,000050,2005/12,10400000,
(주)경방,000050,2006/12,10400000,
(주)경방,000050,2007/12,10400000,10400000
(주)경방,000050,2008/12,10400000,10400000
(주)경방,000050,2009/12,10400000,10400000
(주)경방,000050,2010/12,10400000,10400000
(주)경방,000050,2011/12,10400000,10400000
(주)경방,000050,2012/12,10400000,10400000
(주)경방,000050,2013/12,12461490,12461490
(주)경방,000050,2014/12,13707635,13707635
(주)경방,000050,2015/12,13707635,13707635
(주)경방,000050,2016/12,13707635,13707635
(주)경방,000050,2017/12,13707635,13707635
(주)경방,000050,2018/12,13707635,13707635
(주)경방,000050,2019/12,13707635,13707635
(주)경방,000050,2020/12,13707635,13707635
(주)경보제약,214390,1999/12,7400000,
(주)경보제약,214390,2000/12,3000000,
(주)경보제약,214390,2001/12,7913750,
(주)경보제약,214390,2002/12,7913750,
(주)경보제약,214390,2003/12,17173005,
(주)경보제약,214390,2004/12,27173005,
(주)경보제약,214390,2005/12,28566445,
(주)경보제약,214390,2006/12,7444635,
(주)경보제약,214390,2007/12,7444635,
(주)경보제약,214390,2008/12,10758085,
(주)경보제약,214390,2009/12,10758085,
(주)경보제약,214390,2010/12,10758085,
(주)경보제약,214390,2011/12,10758085,
(주)경보제약,214390,2012/12,10758085,
(주)경보제약,214390,2013/12,10758085,10758085
(주)경보제약,214390,2014/12,10758085,10758085
(주)경보제약,214390,2015/12,11953430,11953430
(주)경보제약,214390,2016/12,11953430,11953430
(주)경보제약,214390,2017/12,11953430,11953430
(주)경보제약,214390,2018/12,11953430,11953430
(주)경보제약,214390,2019/12,11953430,11953430
(주)경보제약,214390,2020/12,11953430,11953430
(주)경인양행,012610,1985/12,,
(주)경인양행,012610,1986/12,,
(주)경인양행,012610,1987/12,300000,
(주)경인양행,012610,1988/12,300000,
(주)경인양행,012610,1989/12,450000,
(주)경인양행,012610,1990/12,450000,
(주)경인양행,012610,1991/12,600000,
(주)경인양행,012610,1992/12,600000,
(주)경인양행,012610,1993/12,2250000,
(주)경인양행,012610,1994/12,4153000,
(주)경인양행,012610,1995/12,6500000,
(주)경인양행,012610,1996/12,6500000,
(주)경인양행,012610,1997/12,8600000,
(주)경인양행,012610,1998/12,12400000,
(주)경인양행,012610,1999/12,12400000,
(주)경인양행,012610,2000/12,12400000,
(주)경인양행,012610,2001/12,12400000,
(주)경인양행,012610,2002/12,12500000,
(주)경인양행,012610,2003/12,12500000,
(주)경인양행,012610,2004/12,15000000,
(주)경인양행,012610,2005/12,15000000,
(주)경인양행,012610,2006/12,15000000,
(주)경인양행,012610,2007/12,15050000,15050000
(주)경인양행,012610,2008/12,18700000,18700000
(주)경인양행,012610,2009/12,18750000,18750000
(주)경인양행,012610,2010/12,18750000,18750000
(주)경인양행,012610,2011/12,18750000,18750000
(주)경인양행,012610,2012/12,18750000,18750000
(주)경인양행,012610,2013/12,20198183,20198183
(주)경인양행,012610,2014/12,20198183,20198183
(주)경인양행,012610,2015/12,20198183,20198183
(주)경인양행,012610,2016/12,20198183,20198183
(주)경인양행,012610,2017/12,20198183,20198183
(주)경인양행,012610,2018/12,20198183,20198183
(주)경인양행,012610,2019/12,20393183,20393183
(주)경인양행,012610,2020/12,20638183,20638183
(주)광명전기,017040,1986/12,500000,
(주)광명전기,017040,1987/12,500000,
(주)광명전기,017040,1988/12,500000,
(주)광명전기,017040,1989/12,1000000,
(주)광명전기,017040,1990/12,4000000,
(주)광명전기,017040,1991/12,4000000,
(주)광명전기,017040,1992/12,6600000,
(주)광명전기,017040,1993/12,6600000,
(주)광명전기,017040,1994/12,6600000,
(주)광명전기,017040,1995/12,7750000,
(주)광명전기,017040,1996/12,10398600,
(주)광명전기,017040,1997/12,10398600,
(주)광명전기,017040,1998/12,,
(주)광명전기,017040,1999/12,1039860,
(주)광명전기,017040,2000/12,4868625,
(주)광명전기,017040,2002/11,16111863,
(주)광명전기,017040,2003/11,16111863,
(주)광명전기,017040,2004/11,16921863,
(주)광명전기,017040,2005/12,16921863,
(주)광명전기,017040,2006/12,18706723,
(주)광명전기,017040,2007/12,18706723,18706723
(주)광명전기,017040,2008/12,18706723,18706723
(주)광명전기,017040,2009/12,18706723,18706723
(주)광명전기,017040,2010/12,18706723,18706723
(주)광명전기,017040,2011/12,21668808,21668808
(주)광명전기,017040,2012/12,21668808,21668808
(주)광명전기,017040,2013/12,21668808,21668808
(주)광명전기,017040,2014/12,21668808,21668808
(주)광명전기,017040,2015/12,21668808,21668808
(주)광명전기,017040,2016/12,21668808,21668808
(주)광명전기,017040,2017/12,21668808,21668808
(주)광명전기,017040,2018/12,21668808,21668808
(주)광명전기,017040,2019/12,21668808,21668808
(주)광명전기,017040,2020/12,21668808,21668808
(주)광주신세계,037710,1995/12,500000,
(주)광주신세계,037710,1996/12,500000,
(주)광주신세계,037710,1997/12,500000,
(주)광주신세계,037710,1998/12,3000000,
(주)광주신세계,037710,1999/12,5500000,
(주)광주신세계,037710,2000/12,5500000,
(주)광주신세계,037710,2001/12,5500000,
(주)광주신세계,037710,2002/12,8000000,
(주)광주신세계,037710,2003/12,8000000,
(주)광주신세계,037710,2004/12,8000000,
(주)광주신세계,037710,2005/12,8000000,
(주)광주신세계,037710,2006/12,8000000,
(주)광주신세계,037710,2007/12,8000000,8000000
