회사명,거래소코드,회계년도,이연법인세부채(천원),이연법인세부채(IFRS)(천원)
(주)SIMPAC,009160,2002/12,0,
(주)SIMPAC,009160,2003/12,0,
(주)SIMPAC,009160,2004/12,0,
(주)SIMPAC,009160,2005/12,0,
(주)SIMPAC,009160,2006/12,0,
(주)SIMPAC,009160,2007/12,0,469199
(주)SIMPAC,009160,2008/12,0,1900316
(주)SIMPAC,009160,2009/12,0,4095162
(주)SIMPAC,009160,2010/12,10895,12439896
(주)SIMPAC,009160,2011/12,0,14196950
(주)SIMPAC,009160,2012/12,0,11492724
(주)SIMPAC,009160,2013/12,0,11537243
(주)SIMPAC,009160,2014/12,0,6651967
(주)SIMPAC,009160,2015/12,0,6130237
(주)SIMPAC,009160,2016/12,0,6255106
(주)SIMPAC,009160,2017/12,0,4897487
(주)SIMPAC,009160,2018/12,0,9147278
(주)SIMPAC,009160,2019/12,0,6493013
(주)SIMPAC,009160,2020/12,0,13368284
(주)SNT에너지,100840,2008/12,664095,20340072
(주)SNT에너지,100840,2009/12,0,19749011
(주)SNT에너지,100840,2010/12,31503,20103974
(주)SNT에너지,100840,2011/12,0,18872385
(주)SNT에너지,100840,2012/12,0,19874144
(주)SNT에너지,100840,2013/12,0,20059373
(주)SNT에너지,100840,2014/12,0,18578915
(주)SNT에너지,100840,2015/12,0,18487985
(주)SNT에너지,100840,2016/12,0,13981995
(주)SNT에너지,100840,2017/12,0,14911985
(주)SNT에너지,100840,2018/12,0,15509730
(주)SNT에너지,100840,2019/12,0,16663237
(주)SNT에너지,100840,2020/12,0,14174371
(주)SNT홀딩스,036530,1997/12,0,
(주)SNT홀딩스,036530,1998/12,0,
(주)SNT홀딩스,036530,1999/12,0,
(주)SNT홀딩스,036530,2000/12,0,
(주)SNT홀딩스,036530,2001/12,0,
(주)SNT홀딩스,036530,2002/12,0,
(주)SNT홀딩스,036530,2003/12,0,
(주)SNT홀딩스,036530,2004/12,0,
(주)SNT홀딩스,036530,2005/12,3266865,
(주)SNT홀딩스,036530,2006/12,2575456,
(주)SNT홀딩스,036530,2007/12,206148,8436958
(주)SNT홀딩스,036530,2008/12,2720,35234264
(주)SNT홀딩스,036530,2009/12,13283,33323947
(주)SNT홀딩스,036530,2010/12,289512,273856
(주)SNT홀딩스,036530,2011/12,0,0
(주)SNT홀딩스,036530,2012/12,0,187156
(주)SNT홀딩스,036530,2013/12,0,178336
(주)SNT홀딩스,036530,2014/12,0,135382
(주)SNT홀딩스,036530,2015/12,0,0
(주)SNT홀딩스,036530,2016/12,0,0
(주)SNT홀딩스,036530,2017/12,0,0
(주)SNT홀딩스,036530,2018/12,0,0
(주)SNT홀딩스,036530,2019/12,0,0
(주)SNT홀딩스,036530,2020/12,0,0
(주)STX,011810,1985/12,0,
(주)STX,011810,1986/12,0,
(주)STX,011810,1987/12,0,
(주)STX,011810,1988/12,0,
(주)STX,011810,1989/12,0,
(주)STX,011810,1990/12,0,
(주)STX,011810,1991/12,0,
(주)STX,011810,1992/12,0,
