종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"009070","KCTC","7700","80","1.05","7640","7760","7540","577874","4430836590","231000000000","30000000"
"009440","KC그린홀딩스","4990","-120","-2.35","5110","5140","4970","179667","900315410","111950550200","22434980"
"119650","KC코트렐","7400","180","2.49","7410","7490","7320","96846","718082300","96200000000","13000000"
"092220","KEC","2440","90","3.83","2360","2470","2340","5101951","12376452780","284764933600","116706940"
"016380","KG동부제철","19450","-550","-2.75","20000","20100","19300","375049","7290657350","1945173046650","100008897"
"016385","KG동부제철우","144000","4500","3.23","139500","144500","139500","327","46997000","7687440000","53385"
"001390","KG케미칼","29950","-50","-0.17","30200","30300","29800","82516","2471669500","415289575200","13866096"
"033180","KH 필룩스","3340","65","1.98","3280","3370","3270","987986","3288787045","445201415580","133293837"
"001940","KISCO홀딩스","19550","300","1.56","19400","19650","19250","19944","387268400","361213229000","18476380"
"025000","KPX케미칼","66200","-100","-0.15","66700","66700","65900","5531","366725600","320408000000","4840000"
"092230","KPX홀딩스","72000","-1500","-2.04","73500","73500","72000","5808","420217100","304174512000","4224646"
"000040","KR모터스","1200","-10","-0.83","1220","1230","1190","507572","611749160","115364841600","96137368"
"044450","KSS해운","12300","-150","-1.20","12400","12450","12250","188115","2318548350","285186324000","23185880"
"030200","KT","33700","50","0.15","33750","33950","33600","1030734","34800785500","8799467929600","261111808"
"033780","KT&G","83800","-1200","-1.41","84700","85000","83800","695314","58608595400","11505111248600","137292497"
"030210","KTB투자증권","6320","-250","-3.81","6530","6650","6300","1513817","9725039200","381185061440","60314092"
"058850","KTcs","3220","-30","-0.92","3270","3420","3215","2448627","8113418055","137445700000","42685000"
"058860","KTis","3250","20","0.62","3240","3340","3240","551342","1813209650","113106500000","34802000"
"093050","LF","20850","-550","-2.57","21400","21400","20700","149917","3138315500","609654000000","29240000"
"003550","LG","102000","1500","1.49","99900","102000","99700","334334","33726556500","16044701286000","157300993"
"034220","LG디스플레이","23950","-150","-0.62","24200","24600","23800","2581684","62406938950","8569686015000","357815700"
"001120","LG상사","31000","-300","-0.96","31600","31600","30700","299268","9280519600","1201560000000","38760000"
"051900","LG생활건강","1521000","-7000","-0.46","1523000","1529000","1518000","31332","47720664000","23755277637000","15618197"
"051905","LG생활건강우","715000","7000","0.99","709000","715000","706000","3630","2572767000","1501283355000","2099697"
"003555","LG우","73100","0","0.00","73000","73600","72900","22126","1619610600","220880422000","3021620"
"032640","LG유플러스","15750","100","0.64","15650","15850","15550","2570145","40420829550","6876628935750","436611361"
"011070","LG이노텍","210000","7500","3.70","204000","211000","202500","273462","56956816000","4970092470000","23667107"
"066570","LG전자","154500","3000","1.98","152000","156000","152000","1151670","178108767000","25283587263000","163647814"
"066575","LG전자우","76000","3900","5.41","72700","76100","72700","337374","25346461100","1306135392000","17185992"
"108670","LG하우시스","99700","1800","1.84","98000","102500","97900","256942","25888698100","894076699000","8967670"
"108675","LG하우시스우","45700","900","2.01","45050","46450","44800","12710","584070350","47177481000","1032330"
"037560","LG헬로비전","6200","550","9.73","5690","6630","5630","35832428","223660748310","480170563000","77446865"
"051910","LG화학","812000","5000","0.62","807000","818000","803000","264121","214318882780","57320982516000","70592343"
"051915","LG화학우","369500","500","0.14","369000","371000","367500","23854","8792272000","2841011600000","7688800"
"079550","LIG넥스원","43600","-850","-1.91","44650","44700","43400","308191","13499379100","959200000000","22000000"
"006260","LS","71700","-800","-1.10","73500","74900","71400","466077","34030572100","2308740000000","32200000"
"010120","LS ELECTRIC","57600","-300","-0.52","58000","58300","57600","76956","4465470100","1728000000000","30000000"
"000680","LS네트웍스","3880","25","0.65","3865","3970","3810","1294597","5054908100","305755702080","78803016"
"229640","LS전선아시아","8770","20","0.23","8840","8980","8660","1598027","14114893400","268580188830","30624879"
"383800","LX홀딩스","10400","-300","-2.80","10650","10700","10300","2695471","28138606300","793319176000","76280690"
"38380K","LX홀딩스1우","21800","50","0.23","21850","22450","21550","83902","1837143300","31943213000","1465285"
"023150","MH에탄올","10400","-50","-0.48","10450","10700","10350","64921","682615250","76736670400","7378526"
"035420","NAVER","362000","-1000","-0.28","362500","365000","361000","291190","105821070000","59463348990000","164263395"
