종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6190","10","0.16","6090","6220","6070","76393","470346950","289830006050","46822295"
"006840","AK홀딩스","34600","-300","-0.86","35000","35100","33800","98239","3373487250","458365610600","13247561"
"027410","BGF","6880","-30","-0.43","6840","6930","6740","449796","3071015790","658531522080","95716791"
"282330","BGF리테일","182000","1500","0.83","183000","183500","180000","21897","3963097500","3145670892000","17283906"
"138930","BNK금융지주","8080","30","0.37","8070","8160","8030","1390502","11264125110","2633556787680","325935246"
"001460","BYC","384500","1000","0.26","383500","387500","380000","697","267199000","240164467500","624615"
"001465","BYC우","168500","-2500","-1.46","171000","171000","168500","137","23212000","36292372500","215385"
"001040","CJ","109500","1500","1.39","108000","113500","108000","198142","21845225500","3194881281000","29176998"
"079160","CJ CGV","29050","100","0.35","29050","29500","28600","801001","23319402150","1019655000000","35100000"
"00104K","CJ4우(전환)","86800","1100","1.28","85100","87600","85100","5565","482908200","366861241600","4226512"
"000120","CJ대한통운","171500","2000","1.18","170500","171500","170000","33343","5691422000","3912316996000","22812344"
"011150","CJ씨푸드","4585","25","0.55","4565","4625","4550","245644","1125408240","164742594205","35930773"
"011155","CJ씨푸드1우","44300","250","0.57","43200","44300","43000","2311","100828350","8860000000","200000"
"001045","CJ우","64600","100","0.16","64500","66000","64500","7700","498785400","146010405800","2260223"
"097950","CJ제일제당","458500","1000","0.22","457500","465000","451500","54662","25026095000","6902344281000","15054186"
"097955","CJ제일제당 우","216000","-2000","-0.92","218000","220000","215500","5234","1134870000","286725528000","1327433"
"000590","CS홀딩스","74000","800","1.09","73200","74600","73200","5320","392109000","85431668000","1154482"
"012030","DB","918","6","0.66","912","921","911","448847","410885421","184677670494","201173933"
"016610","DB금융투자","7560","290","3.99","7430","7580","7380","318809","2384984870","320894700840","42446389"
"005830","DB손해보험","51800","1100","2.17","51100","51900","50900","136586","7041887500","3667440000000","70800000"
"000990","DB하이텍","52500","400","0.77","52600","53300","51200","1182054","61801745200","2330925870000","44398588"
"000995","DB하이텍1우","129500","1500","1.17","124500","129500","123000","2095","262979500","14544922000","112316"
"139130","DGB금융지주","9460","180","1.94","9210","9500","9210","591737","5580772600","1600119580180","169145833"
"001530","DI동일","190000","4000","2.15","187000","195000","187000","28302","5417270000","477024450000","2510655"
"000210","DL","84800","1800","2.17","83500","85900","83300","198207","16800070700","1309419017600","15441262"
"001880","DL건설","36450","800","2.24","35700","36450","35650","80330","2907733850","803842201800","22053284"
